municipio,fecha_matrimonio,anio_registro,mes_registro,edad_div1,edad_div2,sexo_div1,sexo_div2,dia_registro
55,14/12/2015,2024,1,35,37,M,F,2
18,12/6/2015,2024,1,69,71,M,F,2
18,16/12/1994,2024,1,49,48,M,F,2
41,7/7/2017,2024,1,44,49,M,F,3
55,1/7/2019,2024,1,37,26,M,F,3
18,21/11/1997,2024,1,55,49,M,F,3
42,26/03/1989,2024,1,54,53,M,F,3
33,13/02/2013,2024,1,31,29,M,F,3
30,14/01/2010,2024,1,42,43,M,F,3
71,1/10/2018,2024,1,28,26,M,F,3
51,5/11/2013,2024,1,48,31,M,F,3
33,13/06/2016,2024,1,28,27,M,F,4
55,16/11/2012,2024,1,33,33,M,F,4
55,30/10/1992,2024,1,51,50,M,F,4
43,20/09/1999,2024,1,45,42,M,F,4
66,11/11/2016,2024,1,37,29,M,F,4
72,26/09/2012,2024,1,32,28,M,F,4
43,3/7/1993,2024,1,56,48,M,F,4
55,3/6/2009,2024,1,32,29,M,F,4
18,16/12/2009,2024,1,62,55,M,F,4
19,15/01/2020,2024,1,32,26,M,F,4
1,13/01/1996,2024,1,50,47,M,F,4
18,13/01/2007,2024,1,63,47,M,F,4
55,22/03/2012,2024,1,42,45,M,F,5
36,21/02/2014,2024,1,33,29,M,F,5
18,27/08/1981,2024,1,63,61,M,F,5
66,17/03/1995,2024,1,54,47,M,F,5
55,25/03/2009,2024,1,46,40,M,F,5
12,26/04/2017,2024,1,43,39,M,F,5
43,17/04/1997,2024,1,48,43,M,F,5
55,23/02/2016,2024,1,36,35,M,F,5
43,23/10/2009,2024,1,40,40,M,F,5
29,17/03/2000,2024,1,43,41,M,F,5
43,14/12/1994,2024,1,49,53,M,F,5
29,21/04/1999,2024,1,47,47,M,F,5
29,16/07/1999,2024,1,49,40,M,F,5
18,11/11/2015,2024,1,42,35,M,F,5
66,1/5/2004,2024,1,42,41,M,F,5
19,19/03/2015,2024,1,39,41,M,F,5
35,19/09/2020,2024,1,26,28,M,F,5
3,17/04/2019,2024,1,39,30,M,F,5
12,25/12/1975,2024,1,74,71,M,F,8
43,8/8/2008,2024,1,41,37,M,F,8
42,7/9/1998,2024,1,47,45,M,F,8
55,15/12/2008,2024,1,36,35,M,F,8
42,17/03/2010,2024,1,41,38,M,F,8
29,25/05/2018,2024,1,48,34,M,F,8
25,6/8/2018,2024,1,27,27,M,F,8
42,1/12/1989,2024,1,55,53,M,F,8
18,25/06/1993,2024,1,60,56,M,F,8
29,28/01/2001,2024,1,44,44,M,F,8
55,7/4/1993,2024,1,60,59,M,F,8
29,11/12/2014,2024,1,60,33,M,F,8
30,12/9/1990,2024,1,56,57,M,F,8
43,6/12/1993,2024,1,52,49,M,F,8
55,30/10/2019,2024,1,28,28,M,F,8
26,14/02/2009,2024,1,36,35,M,F,8
66,22/07/1968,2024,1,77,71,M,F,8
55,20/08/1983,2024,1,60,68,M,F,9
47,27/09/2000,2024,1,58,41,M,F,9
18,19/11/1988,2024,1,55,54,M,F,9
18,21/08/2000,2024,1,62,50,M,F,9
48,20/03/2002,2024,1,42,38,M,F,9
18,28/12/2002,2024,1,44,41,M,F,9
55,10/2/2022,2024,1,22,22,M,F,9
29,10/11/2016,2024,1,35,30,M,F,9
30,8/12/2004,2024,1,58,42,M,F,9
29,3/5/1996,2024,1,52,50,M,F,9
2,3/12/2019,2024,1,56,62,M,F,9
18,25/06/2021,2024,1,36,36,M,F,9
25,14/10/1988,2024,1,60,56,M,F,9
