municipio,fecha_matrimonio,año_registro,mes_registro,edad_div1,edad_div2,sexo_div1,sexo_div2,dia_registro
66,,2015,4,62,49,M,F,10
66,,2015,4,,,,,10
66,,2015,4,,,,,10
30,16/07/1998,2015,8,49,40,M,F,11
55,16/06/2006,2015,3,47,38,M,F,30
30,03/05/1999,2015,11,35,34,M,F,6
18,,2015,8,28,30,M,F,5
30,13/03/1994,2015,5,43,39,M,F,5
30,,2015,1,,,M,F,6
30,01/03/2014,2015,6,28,29,M,F,30
21,,2015,6,54,52,M,F,19
30,,2015,6,,,M,F,19
33,,2015,8,27,22,M,F,7
29,07/01/2012,2015,2,27,24,M,F,3
42,,2015,3,59,55,M,F,13
30,18/04/2009,2015,6,31,,M,F,9
30,15/12/1989,2015,6,45,40,M,F,9
30,05/04/2011,2015,8,,24,M,F,19
30,18/04/2008,2015,3,35,35,M,F,30
18,,2015,7,,,M,F,1
30,26/08/2000,2015,2,48,47,M,F,24
30,29/12/1990,2015,8,53,50,M,F,13
26,,2015,9,,,M,F,7
30,,2015,2,39,40,M,F,17
43,30/11/2011,2015,10,,,M,F,21
30,,2015,6,61,49,M,F,1
18,,2015,5,63,46,M,F,26
30,13/12/1999,2015,10,40,43,M,F,15
2,,2015,10,38,38,M,F,28
66,,2015,4,62,49,M,F,10
30,26/02/2002,2015,6,38,35,M,F,25
30,08/06/2015,2015,6,36,32,M,F,8
55,01/06/2010,2015,4,58,38,M,F,16
30,01/09/2000,2015,10,,,M,F,13
30,19/11/2011,2015,11,31,30,M,F,20
20,13/03/1986,2015,1,50,48,M,F,7
30,12/05/2008,2015,11,29,25,M,F,12
43,,2015,1,,,M,F,15
30,17/11/2007,2015,11,,,M,F,9
30,12/11/1998,2015,7,36,35,M,F,8
30,22/11/2012,2015,10,32,31,M,F,7
30,28/05/1997,2015,4,39,27,M,F,29
30,25/09/1997,2015,5,39,37,M,F,18
43,06/09/2002,2015,9,36,30,M,F,3
30,04/12/1987,2015,4,53,49,M,F,28
23,12/06/1967,2015,4,69,64,M,F,27
30,,2015,2,,,M,F,16
29,14/07/2011,2015,12,30,33,M,F,16
43,,2015,8,,,M,F,13
42,11/12/2015,2015,12,52,52,M,F,11
29,05/05/1982,2015,3,53,50,M,F,10
29,,2015,4,51,53,M,F,15
30,27/12/2004,2015,6,37,31,M,F,29
36,11/05/1998,2015,3,40,35,M,F,17
47,29/08/1983,2015,8,48,49,M,F,25
12,22/09/2007,2015,8,34,35,M,F,25
18,14/12/2015,2015,12,37,37,M,F,14
41,19/05/1999,2015,6,40,31,M,F,19
30,08/04/2011,2015,4,23,22,M,F,6
30,04/10/2010,2015,11,40,32,M,F,6
30,25/10/2011,2015,3,31,28,M,F,13
30,20/08/2005,2015,9,38,34,M,F,29
29,27/11/2015,2015,11,34,32,M,F,27
18,13/03/2015,2015,3,36,36,M,F,13
42,03/09/1999,2015,5,41,39,M,F,26
30,22/05/1985,2015,5,54,52,M,F,14
30,18/11/2009,2015,2,30,25,M,F,6
30,14/10/2004,2015,9,40,34,M,F,29
