municipio,fecha_matrimonio,año_registro,mes_registro,edad_div1,edad_div2,sexo_div1,sexo_div2,dia_registro
15,29/05/2012,2018,8,48,53,M,F,28
42,08/08/2016,2018,8,71,51,M,F,4
42,08/08/2016,2018,4,69,50,M,F,4
27,10/07/1993,2018,9,45,43,M,F,12
29,20/05/2006,2018,1,29,30,M,F,30
19,27/10/1987,2018,3,50,49,M,F,6
27,02/12/2011,2018,12,27,26,M,F,11
30,,2018,3,,,,,23
30,,2018,3,,,,,23
30,,2018,3,,,,,23
30,,2018,3,,,,,23
30,,2018,11,41,40,M,F,15
30,,2018,11,,,,,15
30,,2018,11,,,,,15
30,,2018,11,41,40,M,F,15
30,21/04/1990,2018,11,52,50,M,F,21
30,,2018,11,,,,,21
30,,2018,11,,,,,21
30,19/12/1969,2018,10,75,71,M,F,5
30,,2018,10,41,38,M,F,16
52,02/03/2011,2018,11,30,29,M,F,23
30,,2018,9,,,,,12
30,24/03/0199,2018,4,42,38,M,F,2
47,09/06/2014,2018,3,,,M,F,5
48,,2018,8,74,70,M,F,28
30,03/03/2004,2018,5,42,36,M,F,17
30,,2018,4,45,44,M,F,10
29,12/11/2007,2018,9,34,35,M,F,12
30,28/09/1994,2018,6,43,47,M,F,20
2,,2018,10,43,38,M,F,19
30,,2018,1,,,M,F,9
30,14/01/1997,2018,4,49,46,M,F,20
30,03/12/2018,2018,12,25,25,M,F,3
42,08/10/2010,2018,9,42,26,M,F,7
29,19/10/2018,2018,10,44,48,M,F,19
18,,2018,12,52,51,M,F,20
30,,2018,5,22,21,M,F,16
30,02/06/2003,2018,10,42,35,M,F,19
30,,2018,5,23,19,M,F,25
30,,2018,11,,,M,F,27
30,,2018,7,44,43,M,F,5
43,,2018,12,,,M,F,14
16,03/06/1994,2018,6,46,41,M,F,13
42,,2018,5,65,64,M,F,17
30,,2018,12,37,38,M,F,11
30,,2018,4,43,45,M,F,10
55,,2018,12,37,47,M,M,3
30,,2018,4,54,46,M,F,4
18,,2018,7,41,40,M,F,11
30,,2018,11,51,49,M,F,9
55,27/11/2015,2018,3,29,27,M,F,26
30,,2018,3,71,65,M,F,16
30,,2018,2,43,41,M,F,14
30,,2018,2,,,,,14
25,,2018,5,41,32,M,F,22
43,22/12/2000,2018,6,47,44,M,F,7
30,19/04/2001,2018,1,38,43,M,F,24
43,,2018,8,73,67,M,F,29
29,28/10/2006,2018,11,39,39,M,F,14
30,01/03/2018,2018,3,55,53,M,F,1
18,14/01/2011,2018,1,30,24,M,M,9
48,23/05/2011,2018,12,30,27,M,F,11
47,,2018,9,48,43,M,F,26
30,,2018,5,28,28,M,F,31
70,,2018,8,36,35,M,F,29
70,,2018,8,,,,,29
29,,2018,4,58,53,M,F,10
18,,2018,3,38,38,M,F,14
18,,2018,3,,,,,14
30,,2018,9,34,32,M,F,26
30,,2018,9,,,,,26
18,,2018,4,33,29,M,F,19
18,,2018,4,,,,,19
29,18/04/2016,2018,5,45,30,M,F,18
30,29/04/1999,2018,8,53,39,M,F,9
18,14/01/2011,2018,3,21,25,M,F,20
30,,2018,2,54,53,M,F,22
30,22/06/1998,2018,4,41,37,M,F,12
30,17/02/2018,2018,12,35,28,M,F,18
30,22/12/2010,2018,12,,,M,F,17
2,03/06/1999,2018,2,39,38,M,F,2
30,14/04/2012,2018,2,32,32,M,F,19
19,,2018,6,51,49,M,F,28
26,,2018,8,43,44,M,F,14
42,,2018,4,58,57,M,F,9
33,03/03/2006,2018,9,36,38,M,F,24
26,12/12/2009,2018,11,36,31,M,F,6
18,03/02/1992,2018,5,51,44,M,F,24
41,19/08/2009,2018,1,34,34,M,F,23
13,28/12/1999,2018,5,48,43,M,F,5
30,13/02/2002,2018,8,38,33,M,F,21
52,,2018,4,40,40,M,F,23
30,06/02/1998,2018,4,46,45,M,F,18
26,28/12/2001,2018,1,,40,M,F,16
42,20/01/1969,2018,7,75,67,M,F,19
36,,2018,2,68,60,M,F,20
35,,2018,7,41,36,M,F,11
64,,2018,5,30,27,M,F,11
42,17/01/1986,2018,4,57,58,M,F,16
42,20/10/2001,2018,10,42,39,M,F,19
30,15/11/2014,2018,4,32,41,M,F,28
4,,2018,9,46,44,M,F,28
30,04/10/1976,2018,5,65,58,M,F,28
29,29/01/1997,2018,12,43,37,M,F,21
30,26/09/1996,2018,1,40,40,M,F,30
41,10/04/1986,2018,5,57,49,M,F,21
30,26/12/1990,2018,3,52,52,M,F,16
11,26/09/1997,2018,9,41,39,M,F,21
30,16/12/1989,2018,8,53,53,M,F,9
30,02/09/1987,2018,2,52,47,M,F,28
18,09/03/1982,2018,11,55,54,M,F,26
30,16/12/2005,2018,4,39,38,M,F,11
30,27/08/1999,2018,12,45,44,M,F,3
30,26/02/2018,2018,2,30,26,M,F,26
35,16/06/1995,2018,3,53,50,M,F,12
26,05/01/2009,2018,12,29,27,M,F,12
30,13/03/1996,2018,3,51,45,M,F,27
30,21/12/1996,2018,4,44,46,M,F,10
29,04/05/1995,2018,10,44,44,M,F,15
30,09/07/2010,2018,7,29,29,M,F,11
30,18/02/2002,2018,11,43,42,M,F,22
70,22/12/1990,2018,10,49,50,M,F,17
21,11/08/1979,2018,5,61,57,M,F,18
41,09/10/1997,2018,3,42,40,M,F,16
48,28/03/1993,2018,11,43,41,M,F,22
30,24/11/2006,2018,1,44,40,M,F,26
23,04/02/1976,2018,5,67,62,M,F,30
