municipio,edad_cty1,edad_cty2,sexo_cty1,sexo_cty2,año_matrimonio,mes_matrimonio,dia_matrimonio
33,21.0,19.0,M,F,2019,12,26
16,31.0,29.0,M,F,2019,6,15
48,35.0,33.0,M,F,2019,5,8
43,43.0,34.0,M,F,2019,7,8
30,37.0,28.0,M,F,2019,7,8
30,23.0,18.0,M,F,2019,11,13
35,33.0,36.0,M,F,2019,11,15
42,32.0,19.0,M,F,2019,11,15
30,24.0,24.0,M,F,2019,11,15
55,26.0,26.0,M,F,2019,11,15
29,28.0,18.0,M,F,2019,11,22
26,41.0,41.0,M,F,2019,11,22
35,24.0,19.0,M,F,2019,11,22
30,28.0,27.0,M,F,2019,12,7
29,27.0,30.0,M,F,2019,12,6
72,80.0,77.0,M,F,2019,12,6
30,28.0,25.0,M,F,2019,12,7
29,60.0,49.0,M,F,2019,12,6
30,30.0,24.0,M,F,2019,9,12
35,28.0,22.0,M,F,2019,9,12
18,30.0,31.0,M,F,2019,9,12
30,38.0,31.0,M,F,2019,9,12
2,60.0,56.0,M,F,2019,9,12
30,18.0,18.0,M,F,2019,9,12
30,25.0,27.0,M,F,2019,9,12
35,24.0,24.0,M,F,2019,10,12
66,47.0,41.0,M,F,2019,11,25
30,22.0,18.0,M,F,2019,6,3
30,44.0,29.0,M,F,2019,6,3
55,47.0,30.0,M,F,2019,6,3
35,70.0,24.0,M,F,2019,6,3
42,44.0,47.0,M,F,2019,11,22
18,28.0,26.0,M,F,2019,11,22
18,31.0,29.0,M,F,2019,11,22
66,34.0,22.0,M,F,2019,11,22
35,37.0,35.0,M,F,2019,11,22
56,46.0,42.0,M,F,2019,11,22
55,61.0,58.0,M,F,2019,11,22
29,64.0,53.0,M,F,2019,9,6
35,23.0,27.0,M,F,2019,9,6
30,29.0,25.0,M,F,2019,9,26
55,25.0,31.0,M,F,2019,9,26
48,24.0,23.0,M,F,2019,9,26
29,40.0,28.0,M,F,2019,9,26
30,33.0,29.0,M,F,2019,11,15
55,25.0,26.0,M,F,2019,11,15
18,24.0,23.0,M,F,2019,7,24
30,36.0,34.0,M,F,2019,7,24
69,30.0,27.0,M,F,2019,7,24
47,18.0,19.0,M,F,2019,7,24
55,46.0,37.0,M,F,2019,7,24
55,42.0,35.0,M,F,2019,11,7
30,26.0,26.0,M,F,2019,11,15
29,26.0,25.0,M,F,2019,11,14
30,28.0,28.0,M,F,2019,11,16
25,31.0,25.0,M,F,2019,11,19
48,44.0,43.0,M,F,2019,11,19
43,29.0,28.0,M,F,2019,6,28
35,49.0,50.0,M,F,2019,6,28
19,53.0,51.0,M,F,2019,6,28
30,29.0,37.0,M,F,2019,6,28
42,25.0,24.0,M,F,2019,6,28
55,33.0,32.0,M,F,2019,8,12
47,24.0,25.0,M,F,2019,8,12
30,61.0,58.0,M,F,2019,8,12
18,33.0,27.0,M,F,2019,8,12
18,26.0,25.0,M,F,2019,8,12
21,28.0,27.0,M,F,2019,8,12
35,52.0,26.0,M,F,2019,12,13
43,28.0,25.0,M,F,2019,12,18
55,75.0,38.0,M,F,2019,11,11
30,22.0,22.0,M,F,2019,11,11
59,24.0,20.0,M,F,2019,11,19
55,25.0,27.0,M,F,2019,11,19
30,44.0,32.0,M,F,2019,11,22
18,24.0,41.0,M,F,2019,11,21
18,37.0,30.0,M,F,2019,11,15
29,30.0,52.0,M,F,2019,11,15
55,28.0,25.0,M,F,2019,6,14
48,38.0,31.0,M,F,2019,6,14
29,24.0,23.0,M,F,2019,6,14
18,19.0,19.0,M,F,2019,6,14
35,42.0,23.0,M,F,2019,6,14
42,41.0,24.0,M,F,2019,6,14
25,29.0,21.0,M,F,2019,12,6
55,34.0,34.0,M,F,2019,12,6
18,31.0,32.0,M,F,2019,12,10
42,62.0,61.0,M,F,2019,10,13
68,21.0,21.0,M,F,2019,10,20
30,27.0,26.0,M,F,2019,11,22
42,25.0,25.0,M,F,2019,6,8
55,37.0,27.0,M,F,2019,7,25
18,28.0,28.0,M,F,2019,7,27
18,35.0,34.0,M,F,2019,7,25
55,28.0,28.0,M,F,2019,7,25
55,20.0,19.0,M,F,2019,7,25
30,30.0,43.0,M,F,2019,7,27
42,45.0,31.0,M,F,2019,7,26
55,31.0,22.0,M,F,2019,11,5
42,27.0,26.0,M,F,2019,11,5
29,53.0,41.0,M,F,2019,11,5
25,25.0,21.0,M,F,2019,11,22
42,29.0,23.0,M,F,2019,9,26
55,30.0,31.0,M,F,2019,9,26
25,70.0,59.0,M,F,2019,9,26
55,39.0,39.0,M,F,2019,9,26
43,28.0,36.0,M,F,2019,11,1
18,28.0,27.0,M,F,2019,11,1
30,55.0,48.0,M,F,2019,11,1
35,22.0,18.0,M,F,2019,11,1
42,39.0,33.0,M,F,2019,7,27
43,35.0,26.0,M,F,2019,7,24
69,33.0,31.0,M,F,2019,7,24
55,24.0,23.0,M,F,2019,9,6
55,23.0,20.0,M,F,2019,9,6
18,63.0,61.0,M,F,2019,9,6
30,24.0,24.0,M,F,2019,9,6
36,33.0,30.0,M,F,2019,9,6
55,22.0,21.0,M,F,2019,6,18
17,23.0,23.0,M,F,2019,6,18
30,55.0,52.0,M,F,2019,6,18
30,67.0,64.0,M,F,2019,6,18
35,23.0,23.0,M,F,2019,11,16
30,36.0,42.0,M,F,2019,11,23
30,34.0,20.0,M,F,2019,11,21
47,43.0,42.0,M,F,2019,11,23
55,58.0,58.0,M,F,2019,6,18
2,38.0,34.0,M,F,2019,6,18
30,35.0,30.0,M,F,2019,6,18
29,27.0,35.0,M,F,2019,6,18
30,33.0,23.0,M,F,2019,6,29
55,20.0,19.0,M,F,2019,6,28
47,55.0,54.0,M,F,2019,6,28
19,47.0,41.0,M,F,2019,8,12
19,27.0,32.0,M,F,2019,8,12
55,47.0,50.0,M,F,2019,8,12
30,28.0,29.0,M,F,2019,8,12
18,22.0,22.0,M,F,2019,12,18
33,36.0,27.0,M,F,2019,12,18
55,32.0,31.0,M,F,2019,12,18
33,46.0,44.0,M,F,2019,12,18
19,35.0,29.0,M,F,2019,12,18
42,24.0,21.0,M,F,2019,12,18
18,27.0,24.0,M,F,2019,12,27
18,39.0,39.0,M,F,2019,12,28
55,51.0,59.0,M,F,2019,7,5
4,24.0,23.0,M,F,2019,7,5
27,45.0,46.0,M,F,2019,7,6
25,27.0,24.0,M,F,2019,7,5
30,28.0,27.0,M,F,2019,7,5
55,27.0,33.0,M,F,2019,7,5
30,57.0,53.0,M,F,2019,7,5
43,24.0,23.0,M,F,2019,7,5
29,24.0,22.0,M,F,2019,6,14
33,35.0,31.0,M,F,2019,6,14
55,21.0,19.0,M,F,2019,9,12
35,55.0,57.0,M,F,2019,9,12
43,40.0,31.0,M,F,2019,9,12
55,24.0,26.0,M,F,2019,9,12
33,31.0,31.0,M,F,2019,6,28
29,60.0,54.0,M,F,2019,7,25
27,33.0,26.0,M,F,2019,8,12
21,23.0,21.0,M,F,2019,8,16
30,68.0,58.0,M,F,2019,8,30
64,27.0,24.0,M,F,2019,9,1
29,24.0,24.0,M,F,2019,9,1
12,24.0,23.0,M,F,2019,11,22
55,27.0,27.0,M,F,2019,11,22
29,56.0,40.0,M,F,2019,11,22
42,23.0,26.0,M,F,2019,11,22
29,27.0,24.0,M,F,2019,11,22
33,29.0,27.0,M,F,2019,11,22
30,31.0,29.0,M,F,2019,11,22
18,26.0,28.0,M,F,2019,11,22
