Municipios, carpetas
Hermosillo, 2361
Cajeme, 945
Nogales, 761
Guaymas, 493
Caborca, 423
San Luis Río Colorado, 411
Agua Prieta, 367
Navojoa, 302
Huatabampo, 211
Etchojoa, 152
Cananea, 132
Empalme, 102
Magdalena, 90
Benito Juárez, 65
Nacozari de García, 49
Puerto Peñasco, 43
Santa Ana, 39
Bácum, 27
Altar, 19
Imuris, 18
Pitiquito, 18
Rosario, 15
Naco, 14
General Plutarco Elías Calles, 14
San Miguel de Horcasitas, 12
Benjamín Hill, 11
Fronteras, 11
Otros municipios, 10
Cumpas, 10
Ures, 9
Yécora, 8
Sahuaripa, 7
Banámichi, 7
Moctezuma, 5
Aconchi, 5
Mazatán, 5
Carbó, 4
Álamos, 4
Opodepe, 4
Villa Pesqueira, 4
Quiriego, 4
La Colorada, 3
Soyopa, 3
Sáric, 3
San Ignacio Río Muerto, 3
Arizpe, 3
Santa Cruz, 3
Cucurpe, 2
Rayón, 2
Bavispe, 2
Baviácora, 2
Tubutama, 1
Trincheras, 1
Arivechi, 1
Villa Hidalgo, 1
Bacoachi, 1
Bacerac, 1
Bacanora, 1
Átil, 1
